fecha,cuenta,cuenta_acumulada
42483,39,39
42484,17,56
42485,21,77
42486,9,86
42487,10,96
42488,17,113
42489,23,136
42490,36,172
42491,12,184
42492,13,197
42493,13,210
42494,12,222
42495,28,250
42496,29,279
42497,59,338
42498,8,346
42499,16,362
42500,22,384
42501,19,403
42502,42,445
42503,44,489
42504,96,585
42505,18,603
42506,17,620
42507,32,652
42508,31,683
42509,31,714
42510,63,777
42511,111,888
42512,85,973
42513,52,1025
42514,68,1093
42515,89,1182
42516,139,1321
42517,146,1467
42518,484,1951
42519,125,2076
42520,119,2195
42521,119,2314
42522,134,2448
42523,145,2593
42524,227,2820
42525,637,3457
42526,164,3621
42527,108,3729
42528,217,3946
42529,259,4205
42530,262,4467
42531,295,4762
42532,1023,5785
42533,317,6102
42534,253,6355
42535,252,6607
42536,399,7006
42537,414,7420
42538,634,8054
42539,1504,9558
42540,372,9930
42541,594,10524
42542,690,11214
42543,649,11863
42544,720,12583
42545,290,12873
42546,520,13393
42547,269,13662
42548,383,14045
42549,1133,15178
