region,color,encuentros,poblacion,encuentros_10000hab,,,,,,,,,,
Biobío,#FDB56E,1211,1602443,7.557211083,,,,,,,,,,
O'Higgins,#FBCA70,633,692418,9.141876728,,,,,,,,,,
Araucanía,#FC835E,691,751474,9.195261579,,,,,,,,,,
Los Lagos,#DD7368,654,654426,9.993490479,,,,,,,,,,
Valparaíso,#F47B4D,1444,1409552,10.24438971,,,,,,,,,,
Maule,#FEE67E,830,791601,10.48508024,,,,,,,,,,
Antofagasta,#544076,469,442249,10.60488548,,,,,,,,,,
Coquimbo,#EE2B2A,618,563619,10.96485392,,,,,,,,,,
Los Ríos,#785E79,354,296826,11.92617897,,,,,,,,,,
Tarapacá,#0054A4,297,243363,12.20399157,,,,,,,,,,
Metropolitana,#717290,6900,5436951,12.69093652,,,,,,,,,,
Atacama,#A92C48,275,210853,13.04226167,,,,,,,,,,
Arica y Parinacota,#804A62,211,144014,14.65135334,,,,,,,,,,
Magallanes,#76809D,231,125988,18.33507953,,,,,,,,,,
Aisén,#A97A82,200,80668,24.79297863,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
