cod_comuna,cod_region,comuna,region,poblacion,encuentros,pcent_elas,pcent_votos,idh,color
1101,1,Iquique,Tarapacá,145881,229,1.525,0.821,0.766,#0054A4
1107,1,Alto Hospicio,Tarapacá,62947,30,0.200,0.201,,#0054A4
1405,1,Pica,Tarapacá,17334,14,0.093,0.029,0.793,#0054A4
1401,1,Pozo Almonte,Tarapacá,13529,16,0.107,0.054,0.722,#0054A4
1404,1,Huara,Tarapacá,2339,5,0.033,0.021,0.676,#0054A4
1403,1,Colchane,Tarapacá,1333,3,0.020,0.007,0.603,#0054A4
1402,1,Camiña,Tarapacá,679,2,0.013,0.013,0.619,#0054A4
2101,2,Antofagasta,Antofagasta,284842,267,1.778,1.320,0.734,#544076
2201,2,Calama,Antofagasta,110113,166,1.105,0.677,0.757,#544076
2301,2,Tocopilla,Antofagasta,16233,13,0.087,0.128,0.690,#544076
2102,2,Mejillones,Antofagasta,8387,9,0.060,0.049,0.730,#544076
2104,2,Taltal,Antofagasta,8069,5,0.033,0.059,0.716,#544076
2203,2,San Pedro de Atacama,Antofagasta,7778,4,0.027,0.031,0.711,#544076
2103,2,Sierra Gorda,Antofagasta,3308,1,0.007,0.008,0.789,#544076
2302,2,María Elena,Antofagasta,2840,2,0.013,0.029,0.779,#544076
2202,2,Ollague,Antofagasta,177,1,0.007,0.003,,#544076
3101,3,Copiapó,Atacama,123616,152,1.012,0.669,0.725,#A92C48
3301,3,Vallenar,Atacama,35719,42,0.280,0.292,0.731,#A92C48
3102,3,Caldera,Atacama,11573,12,0.080,0.092,0.741,#A92C48
3103,3,Tierra Amarilla,Atacama,10548,17,0.113,0.077,0.686,#A92C48
3201,3,Chañaral,Atacama,9505,11,0.073,0.074,0.714,#A92C48
3202,3,Diego de Almagro,Atacama,9014,31,0.206,0.080,0.789,#A92C48
3304,3,Huasco,Atacama,6215,2,0.013,0.057,0.695,#A92C48
3303,3,Freirina,Atacama,4486,7,0.047,0.041,0.693,#A92C48
3302,3,Alto del Carmen,Atacama,3790,4,0.027,0.032,0.664,#A92C48
4101,4,La Serena,Coquimbo,165952,205,1.365,1.072,0.781,#EE2B2A
