comuna,poblacion,encuentros_10000hab,indice_participacion
Santiago,139180,69.335,68.61761747
Cerrillos,51997,10.962,51.47027713
Cerro Navia,103064,4.657,45.12924008
Conchalí,86984,11.037,56.86333119
El Bosque,132573,8.750,41.62989447
Estación Central,91416,11.048,54.32309443
Huechuraba,64436,9.777,42.79129679
Independencia,42814,22.423,68.55934975
La Cisterna,58255,11.158,59.2876148
La Florida,323562,8.932,37.49420513
La Granja,97086,5.150,40.1757205
La Pintana,152565,4.392,28.27778324
La Reina,77244,35.472,56.58433017
Las Condes,238274,19.851,53.0657982
Lo Barnechea,83064,11.919,41.50052971
Lo Espejo,77441,7.877,47.79251301
Lo Prado,73017,15.750,52.493255
Macul,80607,18.485,54.56598062
Maipú,654544,3.376,20.48800386
Ñuñoa,123519,40.399,71.70637716
Pedro Aguirre Cerda,75873,19.770,56.56030472
Peñalolén,192217,9.416,38.18912999
Providencia,108741,60.327,64.25451302
Pudahuel,206973,3.141,28.44670561
Quilicura,154585,4.464,27.66374487
Quinta Normal,70949,26.075,56.23053179
Recoleta,100228,27.837,54.08668236
Renca,100676,4.668,41.62660416
San Joaquín,64226,10.432,54.47638028
San Miguel,58490,21.713,66.62335442
San Ramón,65385,7.494,53.46486197
Vitacura,65275,27.422,75.03025661
Puente Alto,561464,7.605,19.16471938
Pirque,17991,13.340,47.38480351
San José De Maipo,11632,22.352,56.49931224
Colina,84107,7.609,33.95080077
Lampa,46979,6.173,36.35667
Tiltil,12156,13.985,46.69299112
San Bernardo,232557,4.472,32.39549874
Buin,56534,4.953,45.98294831
Calera De Tango,20746,3.374,46.57765352
Paine,48929,3.883,41.5336508
Melipilla,81778,6.236,46.20924943
Alhué,3664,8.188,58.05131004
Curacaví,23008,5.216,47.03146732
María Pinto,9081,5.506,50.31384209
San Pedro,6155,4.874,58.245329
Talagante,57975,5.520,41.32298404
El Monte,23389,5.558,50.03206636
Isla De Maipo,24250,7.835,44.71752577
Padre Hurtado,37634,3.986,40.74241377
Peñaflor,64961,7.081,41.28784963
